createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/13/2022 17:33:24,microshot,11,9mm,0,v0.96.5.4-3427,78.7234039,78,100,79,85,63,75,78,79,536.025343611434,403.096207936605,508.025213623047,538.872497558594,503.821213785807,661.815789358957,566.816332499186,531.82975769043,562.92845589774,112,141,1.85229611,111,
05/13/2022 17:32:15,microshot,11,9mm,0,v0.96.5.4-3427,71.94245,68,65,81,77,69,68,72,76,580.80687788421,608.392932598407,612.367833064153,494.676277160645,480.342705359826,583.364923095703,719.735659281413,542.099810282389,608.278467814128,102,139,1.66859424,100,
05/13/2022 17:30:56,microshot,11,9mm,0,v0.96.5.4-3427,77.20589,81,86,73,70,75,67,84,82,557.443784767222,497.606810349684,490.156559535435,551.96690251277,522.717061360677,534.743694598858,697.99400583903,523.570026942662,638.103353500366,108,136,1.75190723,105,
05/13/2022 17:29:34,microshot,11,9mm,0,v0.96.5.4-3427,77.03703,78,76,92,92,76,80,63,67,566.479183814639,536.06300163269,635.065049235026,468.945864590732,493.445555369059,525.560515183669,560.911842346191,670.338752746582,620.734680175781,106,135,1.73532546,104,
05/13/2022 17:28:17,microshot,11,9mm,0,v0.96.5.4-3427,71.969696,80,71,72,59,80,65,79,77,601.343721023713,505.679244995117,558.642547607422,575.051491292318,617.751995849609,572.527717003455,726.132436116537,572.679650200738,715.695895724826,100,132,1.584778,95,
05/12/2022 17:26:15,microshot,11,9mm,0,v0.96.5.4-3427,80.29197,76,93,70,78,93,82,70,87,534.269616204339,450.454136439732,496.010593959263,518.241662161691,543.117241492638,522.609332275391,508.641641470102,698.556060791016,546.98690999349,112,137,1.83582115,110,
05/12/2022 17:25:03,microshot,11,9mm,0,v0.96.5.4-3427,81.8840561,86,100,76,74,83,88,72,81,518.36846791143,491.62971496582,426.571254730225,536.521877288818,561.045720717486,515.369855608259,511.795784690163,583.980595515325,524.686505998884,116,138,1.885886,113,
05/12/2022 17:23:55,microshot,11,9mm,0,v0.96.5.4-3427,82.48175,82,79,80,93,85,86,71,88,521.670409620854,472.066632080078,456.271159580776,494.741577148438,448.146628485786,586.456932067871,585.614965265447,621.578360421317,559.84154183524,114,137,1.88565946,113,
05/12/2022 17:22:48,microshot,11,9mm,0,v0.96.5.4-3427,81.75182,83,88,82,78,87,82,81,74,534.882452828543,504.341900634766,474.950337001256,503.501672363281,536.840494009165,543.076038067157,560.056986490885,572.389476231166,585.426561355591,112,137,1.86914182,112,
05/12/2022 17:21:42,microshot,11,9mm,0,v0.96.5.4-3427,84.84849,82,100,83,81,83,88,80,81,531.0006779262,478.29542350769,474.619081624349,519.411836896624,508.815427652995,580.742943899972,522.575677054269,592.192186991374,603.608238220215,112,132,1.86936069,112,
05/11/2022 14:48:35,microshot,11,9mm,0,v0.96.5.4-3427,83.59375,83,76,81,86,81,85,80,100,556.833128456758,465.175642903646,535.401822916667,534.253800825639,519.91792179988,615.069915771484,633.267377217611,632.387967196378,538.583081926618,108,128,1.78556287,107,
05/11/2022 14:47:27,microshot,11,9mm,0,v0.96.5.4-3427,78.19549,89,74,75,71,100,78,71,74,571.368106548603,445.074989827474,536.987180921767,480.709469604492,629.020216508345,547.722453526088,739.250909978693,688.850749622692,569.774235316685,104,133,1.73558283,104,
05/11/2022 14:46:21,microshot,11,9mm,0,v0.96.5.4-3427,79.10448,81,80,82,75,76,81,72,86,557.265438186788,524.267977396647,536.405803135463,484.618841552734,514.77235529973,621.999624399039,605.487665812175,613.763789585659,565.76010785784,108,134,1.76891267,106,
05/11/2022 14:45:13,microshot,11,9mm,0,v0.96.5.4-3427,82.7067642,93,88,78,87,72,72,88,88,541.331101018732,471.005264282227,474.353806559245,480.602811540876,503.446428571429,613.926707874645,737.960400899251,585.890189034598,521.93994140625,110,133,1.835942,110,
05/11/2022 14:44:07,microshot,11,9mm,0,v0.96.5.4-3427,77.27273,65,82,93,69,76,73,88,74,578.654094510865,580.139199393136,629.769495646159,487.775859287807,541.57919546274,631.810091885653,570.593728637695,540.20994919997,648.388736724854,104,132,1.70217288,102,
