createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/26/2022 17:40:33,motionshot,11,9mm,0,v0.96.6.1-3717,73.46939,80,55,100,70,89,71,72,60,739.144025449399,670.012512207031,549.074651082357,681.374550713433,597.679060194227,701.744049072266,845.992501395089,875.358005099827,842.978223298725,82,98,1.20186043,72,
05/26/2022 17:39:22,motionshot,11,9mm,0,v0.96.6.1-3717,73.78641,83,75,90,60,90,68,67,67,714.771679246282,738.954467773438,675.433977762858,650.190104166667,566.441793823242,807.674601236979,767.523109436035,854.392918178013,710.237526633523,84,103,1.26857531,76,
05/26/2022 17:38:12,motionshot,11,9mm,0,v0.96.6.1-3717,75,78,77,86,100,88,67,70,57,724.30341581019,679.043586730957,534.767947387695,717.103695678711,635.914103190104,774.260814319957,691.645428466797,853.479212443034,828.142791748047,82,100,1.251911,75,
05/26/2022 17:36:46,motionshot,11,9mm,0,v0.96.6.1-3717,83.51649,100,92,88,82,56,81,92,75,703.411391852884,613.286067082332,512.639511108398,622.276090621948,587.918409075056,864.904435221354,773.777557373047,749.378743489583,778.622127757353,86,91,1.26858044,76,
05/26/2022 17:35:34,motionshot,11,9mm,0,v0.96.6.1-3717,81.11111,91,80,90,90,56,85,67,91,708.820520975504,516.654092641977,561.964321899414,659.747705078125,627.238389448686,805.937664325421,916.253402709961,992.628749302455,793.883532714844,84,90,1.21839631,73,
05/25/2022 18:04:27,motionshot,11,9mm,0,v0.96.6.1-3717,74.03847,67,85,92,42,64,55,100,82,682.564643991405,671.601839192708,516.326681518555,510.483501434326,761.518914116753,622.277221679688,814.929449462891,781.298683860085,779.427241007487,88,104,1.28528082,77,
05/25/2022 18:03:15,motionshot,11,9mm,0,v0.96.6.1-3717,82.02247,100,69,53,100,83,92,80,100,730.118942074659,654.198013305664,650.93872347745,478.406217575073,670.125721324574,882.781197684152,878.101154327392,885.175493512835,734.585818204013,82,89,1.21843433,73,
05/25/2022 18:01:56,motionshot,11,9mm,0,v0.96.6.1-3717,74.73684,67,77,70,73,75,64,86,89,754.503761194929,661.456687927246,764.139143510298,617.297995673286,702.25361328125,898.522996690538,851.411422729492,738.40578918457,843.4398324149,80,95,1.18516362,71,
05/25/2022 18:00:51,motionshot,11,9mm,0,v0.96.6.1-3717,70.83333,82,70,57,62,64,75,80,71,766.869335663625,624.715030246311,760.576015896267,728.636603219169,566.75142124721,888.564658028739,817.115330287388,903.903387451172,738.781746419271,78,96,1.13497055,68,
05/25/2022 17:59:45,motionshot,11,9mm,0,v0.96.6.1-3717,77.89474,75,79,87,60,75,88,82,75,711.802643367222,661.771579996745,619.290583891027,591.206844329834,727.246963500977,806.577799479167,1013.60659790039,737.806471082899,795.856820913462,84,95,1.23525345,74,
