createDate,taskName,mode,weaponName,map,version,OTR,avgTimeOn,maxTimeOn,avgTimeOff,maxTimeOff,missUp,missUpLeft,missUpRight,missLeft,missRight,missDown,missDownLeft,missDownRight
05/27/2022 18:28:59,motiontrack,10,9mm,0,v0.96.6.1-3717,26,425.272858,2064.00171,141.333374,1808.0022,0,3,31,297,302,15,35,26,
05/27/2022 18:24:25,motiontrack,10,9mm,0,v0.96.6.1-3717,26,353.890747,2767.99268,94.428566,896.000366,16,49,31,257,148,13,47,79,
05/27/2022 18:23:15,motiontrack,10,9mm,0,v0.96.6.1-3717,26,390.080017,2407.99731,116.960022,1104.00085,1,42,16,315,206,52,17,53,
05/27/2022 18:22:02,motiontrack,10,9mm,0,v0.96.6.1-3717,25,402.782745,1568.00171,177.872421,1520.00171,0,3,0,534,238,2,15,45,
05/27/2022 18:20:55,motiontrack,10,9mm,0,v0.96.6.1-3717,25,347.520142,1680.002,109.4902,936.0005,10,60,42,305,210,12,21,88,
05/26/2022 17:24:20,motiontrack,10,9mm,0,v0.96.6.1-3717,25,514.3784,2423.997,166.7369,1808.0022,1,40,21,210,310,12,74,73,
05/26/2022 17:21:34,motiontrack,10,9mm,0,v0.96.6.1-3717,26,816.667,2359.998,266.56012,1568.00171,8,38,29,176,239,16,21,182,
05/26/2022 17:16:08,motiontrack,10,9mm,0,v0.96.6.1-3717,28,893.452942,3999.97681,72.69565,343.999878,0,1,1,85,98,4,15,27,
05/26/2022 17:14:57,motiontrack,10,9mm,0,v0.96.6.1-3717,26,335.4074,2303.99878,106.763634,888.000366,8,7,55,81,227,19,77,202,
05/26/2022 17:13:41,motiontrack,10,9mm,0,v0.96.6.1-3717,26,565.8822,3103.98853,126.399986,623.9998,2,6,20,180,173,96,46,64,
05/25/2022 17:51:49,motiontrack,10,9mm,0,v0.96.6.1-3717,27.0000019,699.713135,3975.97729,179.034515,1328.00122,9,32,63,197,170,33,54,55,
05/25/2022 17:50:38,motiontrack,10,9mm,0,v0.96.6.1-3717,25,491.158142,2008.00256,139.076935,1056.00073,22,68,38,127,269,23,67,102,
05/25/2022 17:49:26,motiontrack,10,9mm,0,v0.96.6.1-3717,25,561.411438,3663.9812,155.657211,1984.00256,8,68,39,223,176,0,25,82,
05/25/2022 17:48:16,motiontrack,10,9mm,0,v0.96.6.1-3717,25,543.542969,2303.99878,193.555634,1392.00134,34,24,34,118,247,9,113,64,
05/24/2022 18:24:20,motiontrack,10,9mm,0,v0.96.6.1-3717,24,358.7201,1664.002,116.705872,671.999939,10,70,44,222,142,64,126,116,
