createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/18/2022 02:53:12,sixshot,10,9mm,0,v0.96.5.4-3427,87.64045,81,95,92,85,100,0,0,0,751.430790827825,812.219216086648,715.136281866776,740.423233032227,738.318454908288,905.5478515625,0,0,0,84,89,1.30187774,78,
05/18/2022 02:52:02,sixshot,10,9mm,0,v0.96.5.4-3427,89.53488,96,86,83,90,0,0,0,0,766.715624524401,718.350865681966,782.356414794922,802.103251139323,799.633458187706,0,0,0,0,83,86,1.28509128,77,
05/18/2022 02:50:54,sixshot,10,9mm,0,v0.96.5.4-3427,85.22727,94,95,78,80,0,0,0,100,786.217709960937,688.111010742188,750.87673034668,830.112538655599,847.760137939453,0,0,0,663.037963867188,81,88,1.25188208,75,
05/18/2022 02:49:37,sixshot,10,9mm,0,v0.96.5.4-3427,83.72093,79,81,88,89,0,0,0,0,816.84704123603,867.507594058388,883.16358875093,751.890881347656,752.00760269165,0,0,0,0,78,86,1.20172989,72,
05/18/2022 02:48:29,sixshot,10,9mm,0,v0.96.5.4-3427,85.8823547,95,76,94,81,0,0,0,0,802.559073252221,775.746096962377,913.121713738693,730.406688017004,800.422695384306,0,0,0,0,79,85,1.218476,73,
05/16/2022 18:46:30,sixshot,10,9mm,0,v0.96.5.4-3427,81.11111,86,84,88,77,0,33,50,0,805.123540590887,788.314735814145,793.458894729614,765.78759765625,814.869631958008,0,1837.65551757813,966.66162109375,0,79,90,1.21850371,73,
05/16/2022 18:45:06,sixshot,10,9mm,0,v0.96.5.4-3427,86.36364,95,95,79,80,0,0,0,0,776.441637139571,758.027577718099,707.371873643663,843.995166015625,802.477519989014,0,0,0,0,82,88,1.26851511,76,
05/16/2022 18:43:43,sixshot,10,9mm,0,v0.96.5.4-3427,75.757576,79,75,79,69,0,100,0,0,778.876844889323,778.32328073602,776.021484375,771.5625,815.041576038708,0,494.893371582031,0,0,81,99,1.25183868,75,
05/16/2022 18:42:15,sixshot,10,9mm,0,v0.96.5.4-3427,86.6666641,93,84,89,82,0,0,50,100,757.266848441882,706.338422851563,753.745826721191,788.218910217285,801.165001763238,0,0,958.600158691406,877.459106445313,84,90,1.301885,78,
05/16/2022 18:41:05,sixshot,10,9mm,0,v0.96.5.4-3427,82.22222,86,76,75,88,0,0,0,0,795.595331965266,783.996048776727,804.625338040865,890.136581420899,741.783991274626,0,0,0,0,80,90,1.23515618,74,
05/15/2022 18:36:59,sixshot,10,9mm,0,v0.96.5.4-3427,92.40506,89,94,88,100,0,0,0,0,794.764583221854,813.287829081218,802.518583170573,772.118094308036,794.576608758224,0,0,0,0,79,79,1.21839273,73,
05/15/2022 18:35:44,sixshot,10,9mm,0,v0.96.5.4-3427,96.15385,100,80,100,100,0,0,0,0,785.917655029297,772.77555047898,918.377848307292,755.516166687012,765.329240722656,0,0,0,0,81,78,1.251789,75,
05/15/2022 18:34:32,sixshot,10,9mm,0,v0.96.5.4-3427,91.13924,95,88,94,86,0,0,0,100,821.048156738281,803.71627952939,868.799843528054,820.019519042969,807.26670328776,0,0,0,639.806579589844,78,79,1.20174885,72,
