createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/15/2022 18:28:00,spidershot,12,9mm,0,v0.96.5.4-3427,81.8181839,88,72,75,84,95,89,85,67,431.826330212579,380.703621419271,394.847480773926,385.402028937089,418.165467914782,413.214767456055,436.974440630744,498.593897892879,546.772121653837,138,154,2.10312152,126,
05/15/2022 18:26:51,spidershot,12,9mm,0,v0.96.5.4-3427,81.16883,95,95,76,59,89,82,78,79,430.806588920758,385.786442806846,359.918251400902,435.553312301636,441.209582858615,442.027815874885,442.543891319862,425.086464436849,521.971212768555,140,154,2.08638668,125,
05/15/2022 18:25:44,spidershot,12,9mm,0,v0.96.5.4-3427,81.57895,76,76,90,84,95,68,82,78,430.428171500885,388.796718052455,442.878951128791,387.631479363692,384.346171985973,430.318345013787,478.01470375061,441.862340291341,536.615565999349,140,152,2.06948853,124,
05/15/2022 18:24:35,spidershot,12,9mm,0,v0.96.5.4-3427,83.00654,94,89,89,83,73,74,80,85,425.485392107282,382.235356947955,365.372834858141,398.652473958333,382.246476915148,458.701484680176,506.421180725098,455.748389748966,457.953058878581,140,153,2.11956453,127,
05/15/2022 18:23:27,spidershot,12,9mm,0,v0.96.5.4-3427,85.52631,81,94,79,85,81,94,88,83,425.795039367676,375.510205078125,362.083679199219,397.043298630487,408.998868075284,488.853774126838,417.355370154748,576.798685709635,437.587367007607,140,152,2.16987419,130,
05/14/2022 18:49:43,spidershot,12,9mm,0,v0.96.5.4-3427,77.92207,76,84,82,80,76,67,85,72,449.92950749218,403.906414256376,388.139926365444,411.396639823914,405.018368369655,480.798597717285,558.34663609096,423.241706261268,516.379710388184,134,154,2.002996,120,
05/14/2022 18:48:35,spidershot,12,9mm,0,v0.96.5.4-3427,75.64102,81,88,74,79,82,74,64,70,437.492907714844,341.044347127279,387.203958847943,466.198628145106,402.835187410053,445.010614304315,483.835309346517,530.145394461496,460.544132995605,136,156,1.96938777,118,
05/14/2022 18:47:29,spidershot,12,9mm,0,v0.96.5.4-3427,77.01864,88,100,80,89,79,61,60,71,438.65122346317,348.531931023849,382.854248046875,425.150101511102,376.685873551802,446.533504710478,508.27353140024,564.448239644369,523.931603682669,136,161,2.06952047,124,
05/14/2022 18:46:15,spidershot,12,9mm,0,v0.96.5.4-3427,79.06977,90,85,83,90,85,62,62,82,395.202472307824,374.389345550537,352.707159423828,378.978652954102,353.766280401321,398.342342376709,421.485147476196,479.501749375287,424.54544321696,152,172,2.26988363,136,
05/14/2022 18:45:08,spidershot,12,9mm,0,v0.96.5.4-3427,74.05064,70,74,83,63,68,89,68,76,447.44122297244,421.580619363224,388.826440175374,381.619601081399,406.150944179959,481.759436214671,496.112670898437,540.502821702224,493.876921001233,134,158,1.9530021,117,
