createDate,taskName,mode,weaponName,map,version,OTR,avgTimeOn,maxTimeOn,avgTimeOff,maxTimeOff,missUp,missUpLeft,missUpRight,missLeft,missRight,missDown,missDownLeft,missDownRight
05/18/2022 17:11:58,strafetrack,11,9mm,0,v0.96.5.4-3427,49,296.824738,1336.00122,295.91745,1088.00073,0,7,18,1237,1238,0,6,5,
05/18/2022 17:10:24,strafetrack,11,9mm,0,v0.96.5.4-3427,47,328.666718,1336.00122,363.764557,880.000366,0,1,0,1327,1349,0,0,0,
05/18/2022 17:09:15,strafetrack,11,9mm,0,v0.96.5.4-3427,48,269.825256,1304.00122,287.538361,760.0001,0,0,0,1479,1351,0,2,15,
05/18/2022 17:07:45,strafetrack,11,9mm,0,v0.96.5.4-3427,51,313.4316,1336.00122,296.833221,816.000244,0,0,0,1235,1268,0,21,0,
05/18/2022 17:06:25,strafetrack,11,9mm,0,v0.96.5.4-3427,50,264.6546,1312.00122,258.98172,639.9999,0,0,21,1324,1260,0,13,9,
05/18/2022 02:20:10,strafetrack,11,9mm,0,v0.96.5.4-3427,49,293.714264,1072.00073,294.302917,760.0001,0,9,0,1355,1220,0,0,0,
05/18/2022 02:18:58,strafetrack,11,9mm,0,v0.96.5.4-3427,48,274.059448,1240.0011,296.792,856.0003,0,9,17,1243,1357,0,0,0,
05/18/2022 02:17:47,strafetrack,11,9mm,0,v0.96.5.4-3427,49,294.7629,1336.00122,299.628754,671.999939,0,30,14,1309,1407,0,1,0,
05/18/2022 02:16:31,strafetrack,11,9mm,0,v0.96.5.4-3427,48,287.3402,1320.00122,312.164825,896.000366,0,0,5,1507,1287,0,0,0,
05/18/2022 02:15:09,strafetrack,11,9mm,0,v0.96.5.4-3427,47,271.445526,1336.00122,300.1979,768.0001,0,12,7,1352,1475,0,35,8,
05/16/2022 18:07:42,strafetrack,11,9mm,0,v0.96.5.4-3427,52,308.1633,1336.00122,286.122345,760.0001,0,0,10,1114,1197,0,2,52,
05/16/2022 18:06:24,strafetrack,11,9mm,0,v0.96.5.4-3427,52,308.000061,1336.00122,282.775421,888.000366,0,9,0,1113,1253,0,9,3,
05/16/2022 18:04:58,strafetrack,11,9mm,0,v0.96.5.4-3427,51,305.142883,1336.00122,285.979675,623.9998,0,0,0,1319,1240,0,0,0,
05/16/2022 18:03:37,strafetrack,11,9mm,0,v0.96.5.4-3427,49,300.666718,1336.00122,299.083221,615.9998,0,23,1,1254,1278,0,3,1,
05/16/2022 18:02:22,strafetrack,11,9mm,0,v0.96.5.4-3427,48,260.888916,1192.001,272.296173,696,0,13,0,1222,1472,0,1,4,
05/15/2022 17:53:44,strafetrack,11,9mm,0,v0.96.5.4-3427,47,254.370392,1336.00122,278.148041,736.000061,0,2,0,1286,1378,0,37,3,
05/15/2022 17:52:30,strafetrack,11,9mm,0,v0.96.5.4-3427,50,284.349518,1336.00122,275.184357,696,0,30,0,1251,1233,0,11,3,
05/15/2022 17:51:20,strafetrack,11,9mm,0,v0.96.5.4-3427,47,233.641,1288.00122,259.350342,744.000061,8,18,8,1230,1495,0,8,0,
05/15/2022 17:47:47,strafetrack,11,9mm,0,v0.96.5.4-3427,52,310.68045,1336.00122,283.133942,1096.00073,0,0,0,1218,1095,0,46,8,
05/15/2022 17:46:31,strafetrack,11,9mm,0,v0.96.5.4-3427,47,277.0909,1336.00122,302.78775,776.0001,0,0,1,1302,1417,0,16,3,
05/14/2022 18:23:12,strafetrack,11,9mm,0,v0.96.5.4-3427,49,268.3077,1336.00122,279.1618,1184.001,0,0,0,1260,1323,0,16,0,
05/14/2022 18:21:53,strafetrack,11,9mm,0,v0.96.5.4-3427,46,256.615356,1112.00085,299.6153,776.0001,0,4,4,1311,1573,0,0,2,
05/14/2022 18:20:16,strafetrack,11,9mm,0,v0.96.5.4-3427,50,258.407074,1336.00122,252.601669,623.9998,0,0,4,1347,1289,0,0,13,
05/14/2022 18:18:39,strafetrack,11,9mm,0,v0.96.5.4-3427,49,268.15097,1336.00122,275.094269,1200.001,0,0,2,1212,1282,0,3,0,
05/14/2022 18:17:26,strafetrack,11,9mm,0,v0.96.5.4-3427,48,255.4074,1240.0011,275.0091,768.0001,0,2,0,1310,1385,0,21,0,
05/13/2022 17:19:58,strafetrack,11,9mm,0,v0.96.5.4-3427,45,258.138641,1336.00122,312.3167,1096.00073,0,0,0,1525,1248,0,0,2,
05/13/2022 17:18:49,strafetrack,11,9mm,0,v0.96.5.4-3427,46,239.999985,1336.00122,280.509,768.0001,0,0,0,1409,1598,0,5,0,
05/13/2022 17:17:43,strafetrack,11,9mm,0,v0.96.5.4-3427,43,224.072739,1336.00122,304.363525,1072.00073,0,0,0,1719,1465,0,2,0,
