createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/24/2022 18:50:36,spidershot,12,9mm,0,v0.96.6-3707,88.679245,95,95,95,90,85,75,89,83,387.091922215053,364.810500372024,411.37777557373,378.007979543586,346.431784057617,416.338314964658,398.955047607422,396.41323198591,400.179905941612,154,159,2.35362053,141,
05/24/2022 18:49:12,spidershot,12,9mm,0,v0.96.6-3707,89.47369,95,79,95,94,83,89,94,86,413.006288199589,407.109810723199,392.764919883327,355.438919830322,406.744046020508,437.590220133464,462.264972393329,428.870144114775,433.744067382812,146,152,2.27016234,136,
05/24/2022 18:47:45,spidershot,12,9mm,0,v0.96.6-3707,88.6666641,100,88,79,88,88,95,89,81,411.92443005792,390.140325637091,384.404794132008,374.882829553941,397.555138035824,393.735252380371,461.438827514648,451.129050118583,453.217520008916,146,150,2.21994257,133,
05/24/2022 18:46:35,spidershot,12,9mm,0,v0.96.6-3707,82.23685,80,83,90,89,72,70,82,90,424.841203621939,402.154962448847,428.71795823839,408.441190931532,396.92557220459,501.118444106158,448.584716796875,395.246689860026,430.03495547646,142,152,2.08646846,125,
05/24/2022 18:45:29,spidershot,12,9mm,0,v0.96.6-3707,80.51948,89,95,78,78,80,76,79,70,437.160018475386,377.859585232205,434.487051712839,397.649105072021,406.640342712402,476.937368292558,447.319097900391,461.893011474609,487.661747982627,138,154,2.06970239,124,
05/23/2022 17:48:14,spidershot,12,9mm,0,v0.96.6-3707,84.02778,76,94,85,89,82,84,94,68,446.196761401732,428.128326416016,400.485324859619,439.232445610894,410.229127363725,456.325108337402,459.614109584263,448.276702880859,548.851621500651,134,144,2.0197742,121,
05/23/2022 17:47:04,spidershot,12,9mm,0,v0.96.6-3707,83.56164,93,89,65,89,95,71,78,89,439.564835380105,396.57294504266,373.760501098633,438.936962127686,384.134758843316,430.290416516756,548.871084213257,502.070608956473,458.719121029502,136,146,2.03640532,122,
05/23/2022 17:45:57,spidershot,12,9mm,0,v0.96.6-3707,84.72222,89,81,100,84,74,89,82,81,449.726592214484,464.561108059353,408.742816162109,421.820145501031,410.98715379503,480.102659526624,505.689349365234,426.462280273438,475.209574979894,134,144,2.03625822,122,
05/23/2022 17:44:12,spidershot,12,9mm,0,v0.96.6-3707,81.63265,82,89,89,82,79,77,65,89,437.115894911024,418.21922864412,419.033966064453,390.914586684283,404.052750531365,467.842176649306,471.039590688852,536.204872639974,411.350591659546,136,147,2.00304842,120,
05/23/2022 17:43:06,spidershot,12,9mm,0,v0.96.6-3707,79.35484,89,88,80,75,79,73,83,71,435.232549291458,373.16261138916,439.817924097965,379.653982723461,403.054731889205,460.940684599035,524.825106811523,480.444920131138,481.959615071615,138,155,2.053123,123,
05/22/2022 19:40:09,spidershot,12,9mm,0,v0.96.6-3707,82.31293,100,80,100,83,80,67,79,79,448.032249163864,419.562675476074,495.052182284268,419.892472919665,391.039073743318,432.447974163553,510.70339012146,495.691711425781,456.935687255859,134,147,2.0195365,121,
05/22/2022 19:39:00,spidershot,12,9mm,0,v0.96.6-3707,85.2349,88,82,100,94,89,80,74,77,430.962065113534,400.458592465049,370.348539464614,386.34582737514,412.452943689683,445.669253879123,532.659118652344,444.430801391602,459.06901550293,140,149,2.119666,127,
05/22/2022 19:37:54,spidershot,12,9mm,0,v0.96.6-3707,82.1192,94,100,89,94,68,55,89,76,434.653922756223,380.655845240543,381.987052468693,413.284262520926,390.187035055721,523.456297032973,538.266274588449,417.672526640051,448.512243097479,138,151,2.069498,124,
05/22/2022 19:36:49,spidershot,12,9mm,0,v0.96.6-3707,80.27211,94,82,78,94,67,80,84,71,451.986461377326,420.409579628392,404.554103851318,453.566249847412,427.149615119485,499.375843048096,498.354424612863,456.361092703683,467.102346319901,132,147,1.96938741,118,
05/21/2022 22:59:29,spidershot,12,9mm,0,v0.96.6-3707,86.57719,94,90,81,89,85,89,84,79,425.612537397657,391.955248746005,425.768719841452,440.90029157911,391.219408035278,419.094406854539,466.781650797526,437.535385131836,445.921629406157,140,149,2.15313244,129,
05/21/2022 22:58:16,spidershot,12,9mm,0,v0.96.6-3707,85.71429,89,83,90,94,70,88,81,89,432.180073724277,392.776211387233,413.325651469984,400.381122242321,400.960421607608,527.951175265842,444.906843919021,435.583518981934,470.174920218331,138,147,2.10297775,126,
